Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
135,2022-07-01 09:00:00+05:30,2022-07-06 13:00:00+05:30,Long,51747.0,51108,-639.0,102.855,-741.855,7400.377000000004
136,2022-07-14 17:00:00+05:30,2022-07-22 13:00:00+05:30,Short,50165.0,50630,-465.0,100.795,-565.795,6834.582000000004
137,2022-07-28 17:00:00+05:30,2022-08-17 13:00:00+05:30,Long,51345.0,51725,380.0,103.07000000000001,276.93,7111.512000000004
138,2022-08-22 09:00:00+05:30,2022-08-25 09:00:00+05:30,Short,51215.0,51770,-555.0,102.985,-657.985,6453.527000000005
139,2022-08-26 17:00:00+05:30,2022-09-22 17:00:00+05:30,Short,51191.0,49986,1205.0,101.177,1103.823,7557.350000000005
139,2022-09-13 17:00:00+05:30,2022-09-22 17:00:00+05:30,Add_Short,50007.0,49986,21.0,99.993,-78.993,7478.3570000000045
140,2022-09-26 21:00:00+05:30,2022-09-28 17:00:00+05:30,Short,49125.0,49781,-656.0,98.906,-754.906,6723.451000000005
141,2022-09-30 09:00:00+05:30,2022-10-13 17:00:00+05:30,Long,50485.0,50687,202.0,101.172,100.828,6824.279000000005
142,2022-10-18 17:00:00+05:30,2022-10-21 21:00:00+05:30,Short,50345.0,50635,-290.0,100.98,-390.98,6433.2990000000045
143,2022-11-08 17:00:00+05:30,2022-11-28 21:00:00+05:30,Long,51409.0,52141,732.0,103.55,628.45,7061.749000000004
144,2022-12-01 09:00:00+05:30,2023-02-03 17:00:00+05:30,Long,53403.0,56790,3387.0,110.193,3276.807,10338.556000000004
145,2023-02-15 13:00:00+05:30,2023-03-10 17:00:00+05:30,Short,56158.0,56129,29.0,112.287,-83.287,10255.269000000004
146,2023-03-13 09:00:00+05:30,2023-04-19 13:00:00+05:30,Long,56382.0,59721,3339.0,116.10300000000001,3222.897,13478.166000000005
147,2023-05-03 17:00:00+05:30,2023-05-12 13:00:00+05:30,Long,60956.0,60611,-345.0,121.56700000000001,-466.567,13011.599000000006
148,2023-05-18 09:00:00+05:30,2023-05-31 13:00:00+05:30,Short,60069.0,60019,50.0,120.08800000000001,-70.08800000000001,12941.511000000006
149,2023-06-15 09:00:00+05:30,2023-07-05 13:00:00+05:30,Short,58829.0,58577,252.0,117.406,134.594,13076.105000000005
150,2023-07-12 17:00:00+05:30,2023-07-24 17:00:00+05:30,Long,59133.0,59131,-2.0,118.264,-120.264,12955.841000000006
151,2023-08-17 09:00:00+05:30,2023-08-23 21:00:00+05:30,Short,58538.0,58825,-287.0,117.363,-404.363,12551.478000000006
152,2023-08-30 17:00:00+05:30,2023-09-06 17:00:00+05:30,Long,59496.0,59040,-456.0,118.536,-574.5360000000001,11976.942000000006
153,2023-09-14 09:00:00+05:30,2023-09-15 17:00:00+05:30,Short,58456.0,59063,-607.0,117.519,-724.519,11252.423000000006
154,2023-09-27 13:00:00+05:30,2023-10-10 17:00:00+05:30,Short,58105.0,57630,475.0,115.735,359.265,11611.688000000006
155,2023-10-13 13:00:00+05:30,2023-11-07 09:00:00+05:30,Long,58440.0,60437,1997.0,118.87700000000001,1878.123,13489.811000000005
156,2023-11-08 21:00:00+05:30,2023-11-14 17:00:00+05:30,Short,60005.0,60244,-239.0,120.24900000000001,-359.249,13130.562000000005
157,2023-11-21 17:00:00+05:30,2023-12-08 21:00:00+05:30,Long,61300.0,61770,470.0,123.07000000000001,346.93,13477.492000000006
158,2023-12-11 17:00:00+05:30,2023-12-14 09:00:00+05:30,Short,61250.0,62471,-1221.0,123.721,-1344.721,12132.771000000006
