,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
308,308,308,2023-11-02 13:15:00+05:30,2023-11-10 09:15:00+05:30,Long,63993.3,63910.811481481476,63792.54777777778,64659.53,Trailing SL Hit,666.2299999999959,12.865283000000002,653.364716999996,1494.3794727607617,976374.8213109382,9.763748213109382,2023
309,309,309,2023-11-10 15:15:00+05:30,2023-12-13 09:15:00+05:30,Long,64985.26,64901.41407407408,64802.044444444444,69481.56,Trailing SL Hit,4496.299999999996,13.446682000000001,4482.853317999996,1637.415551809017,7340293.7393718455,73.40293739371846,2023
310,310,310,2023-12-14 09:15:00+05:30,2023-12-20 13:45:00+05:30,Long,70346.18,69652.79777777779,69532.22888888889,70912.17,Trailing SL Hit,565.9900000000052,14.125834999999999,551.8641650000052,368.5725050371599,203401.95773429246,2.0340195773429244,2023
311,311,311,2023-12-22 10:45:00+05:30,2023-12-22 13:15:00+05:30,Long,71179.01,71045.03814814815,70792.23592592592,70881.92,Trailing SL Hit,-297.0899999999965,14.206093,-311.2960929999965,775.6466115734215,-241455.759731492,-2.41455759731492,2023
312,312,312,2023-12-22 14:15:00+05:30,2024-01-02 09:45:00+05:30,Long,71157.51,70909.00296296297,70683.3162962963,71944.42,Trailing SL Hit,786.9100000000035,14.310193,772.5998070000035,632.6528540063784,488787.47290332936,4.887874729033293,2023
313,313,313,2024-01-04 10:45:00+05:30,2024-01-05 13:45:00+05:30,Long,71838.33,71728.1062962963,71591.61407407408,71818.57,Trailing SL Hit,-19.75999999999476,14.365690000000003,-34.12568999999476,1215.9733866960764,-41495.93084263406,-0.4149593084263406,2024
314,314,314,2024-01-05 14:45:00+05:30,2024-01-08 10:45:00+05:30,Long,72069.18,71879.21666666667,71788.55407407407,71788.55407407407,Initial SL Hit,-280.6259259259241,14.385773407407408,-295.0116993333315,1069.0387889506333,-315378.949781573,-3.1537894978157306,2024
315,315,315,2024-01-09 10:15:00+05:30,2024-01-09 13:45:00+05:30,Long,71983.44,71883.69259259259,71712.92592592593,71797.6,Trailing SL Hit,-185.8399999999965,14.378104000000002,-200.21810399999652,1108.9996002124847,-222041.79729129781,-2.220417972912978,2024
316,316,316,2024-01-11 09:15:00+05:30,2024-01-11 13:45:00+05:30,Long,71867.57,71670.49259259259,71531.43629629629,71577.99,Trailing SL Hit,-289.58000000000175,14.344556,-303.92455600000176,892.5019916016349,-271253.2715266442,-2.712532715266442,2024
317,317,317,2024-01-11 14:15:00+05:30,2024-01-17 09:15:00+05:30,Long,71726.57,71644.53518518519,71480.41259259259,72349.69,Trailing SL Hit,623.1199999999953,14.407626000000002,608.7123739999953,1218.7323678765795,741857.4729207883,7.418574729207884,2024
318,318,318,2024-01-23 09:15:00+05:30,2024-01-23 09:45:00+05:30,Long,71949.81,71751.24481481481,71610.28333333333,71734.98,Trailing SL Hit,-214.83000000000175,14.368478999999999,-229.19847900000175,883.5830273517894,-202515.88593924706,-2.0251588593924703,2024
319,319,319,2024-01-29 09:15:00+05:30,2024-01-30 14:15:00+05:30,Long,71261.18,70721.34407407408,70478.55407407408,71282.22,Trailing SL Hit,21.04000000000815,14.254340000000001,6.785660000008148,383.3248938758013,2601.1123993803935,0.026011123993803936,2024
320,320,320,2024-02-01 09:45:00+05:30,2024-02-05 14:15:00+05:30,Long,71996.74,71710.58222222222,71504.44037037037,71745.23,Trailing SL Hit,-251.5100000000093,14.374197,-265.8841970000093,609.3849800896578,-162025.8360950053,-1.6202583609500532,2024
321,321,321,2024-02-07 09:15:00+05:30,2024-02-07 11:15:00+05:30,Long,72288.98,72174.23333333334,71998.65851851852,71998.65851851852,Initial SL Hit,-290.321481481471,14.428763851851855,-304.7502453333228,1033.3372455566873,-314909.7790954605,-3.1490977909546047,2024
322,322,322,2024-02-07 13:45:00+05:30,2024-02-08 10:15:00+05:30,Long,72255.86,72179.39407407407,71984.69222222222,71984.69222222222,Initial SL Hit,-271.16777777778043,14.424055222222222,-285.5918330000027,1106.3261367500947,-315957.70929027116,-3.159577092902712,2024
323,323,323,2024-02-13 10:45:00+05:30,2024-02-13 11:15:00+05:30,Long,71627.17,71458.37148148149,71246.77666666667,71460.77,Trailing SL Hit,-166.39999999999418,14.308794,-180.70879399999419,788.6573546679901,-142517.31944127817,-1.4251731944127817,2024
324,324,324,2024-02-13 14:45:00+05:30,2024-02-13 15:15:00+05:30,Long,71593.84,71459.67185185185,71240.55444444444,71502.61,Trailing SL Hit,-91.22999999999593,14.309645000000002,-105.53964499999593,849.1714288410011,-89621.25114401856,-0.8962125114401857,2024
325,325,325,2024-02-14 14:15:00+05:30,2024-02-22 09:45:00+05:30,Long,71755.96,71380.41259259259,71192.73185185186,72243.65,Trailing SL Hit,487.6899999999878,14.399961,473.29003899998776,532.6438335626117,252095.02075995147,2.520950207599515,2024
