,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
933,bnf,40800,C,2023-03-16,2023-03-10 13:25:00,SELL,2023-03-10 13:30:00,161.8,242.70000000000002,10,2023-03-15 10:30:00,10.0,151.8,1.7180000000000002,150.08200000000002,22512.300000000003,Target Hit,150,2.25123,2023,3
934,bnf,40800,P,2023-03-16,2023-03-16 15:25:00,SELL,2023-03-10 09:15:00,1663.75,2495.625,10,2023-03-16 15:20:00,1667.9,-4.150000000000091,33.316500000000005,-37.466500000000096,-5619.975000000014,Expiry Exit,150,-0.5619975000000014,2023,3
935,bnf,39400,C,2023-03-23,2023-03-17 13:35:00,SELL,2023-03-17 13:40:00,309.4,464.09999999999997,10,2023-03-17 15:05:00,464.09999999999997,-154.7,7.735,-162.435,-24365.25,Initial SL Hit,150,-2.436525,2023,3
936,bnf,39400,C,2023-03-23,2023-03-20 09:30:00,SELL,2023-03-20 09:35:00,306.85,460.27500000000003,10,2023-03-21 09:15:00,460.27500000000003,-153.425,7.671250000000001,-161.09625,-24164.4375,Initial SL Hit,150,-2.41644375,2023,3
937,bnf,39400,C,2023-03-23,2023-03-22 12:35:00,SELL,2023-03-22 12:40:00,630.0,945.0,10,2023-03-23 15:20:00,212.4,417.6,8.424,409.17600000000004,61376.40000000001,Expiry Exit,150,6.137640000000001,2023,3
938,bnf,39400,P,2023-03-23,2023-03-17 14:30:00,SELL,2023-03-17 14:35:00,387.7,581.55,10,2023-03-20 12:25:00,581.55,-193.84999999999997,9.6925,-203.54249999999996,-30531.374999999993,Initial SL Hit,150,-3.053137499999999,2023,3
939,bnf,39400,P,2023-03-23,2023-03-20 14:25:00,SELL,2023-03-20 14:30:00,441.0,661.5,10,2023-03-23 10:25:00,10.0,431.0,4.51,426.49,63973.5,Target Hit,150,6.39735,2023,3
940,bnf,39600,C,2023-03-29,2023-03-24 13:25:00,SELL,2023-03-24 13:30:00,394.75,592.125,10,2023-03-29 15:20:00,319.0,75.75,7.1375,68.6125,10291.875,Expiry Exit,150,1.0291875000000001,2023,3
941,bnf,39600,P,2023-03-29,2023-03-24 13:40:00,SELL,2023-03-24 13:45:00,325.95,488.92499999999995,10,2023-03-29 14:00:00,10.0,315.95,3.3595,312.59049999999996,46888.575,Target Hit,150,4.688857499999999,2023,3
942,bnf,40200,C,2023-04-06,2023-04-06 15:25:00,SELL,2023-03-31 09:15:00,837.25,1255.875,10,2023-04-06 15:20:00,841.0,-3.75,16.7825,-20.5325,-3079.875,Expiry Exit,150,-0.3079875,2023,3
