,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2023, 8)",-0.6560222785759486,8,37.5,0.3333650738476948,-0.3312235000238066,-1.3163630128888597,-0.49835970180919725
"(2023, 9)",-1.553632965670114,8,25.0,0.387515020381516,-0.38811050107219097,-0.5412090398450118,-2.8706707598879615
"(2023, 10)",-4.287469119147585,8,0.0,,-0.5359336398934481,-4.1389145152931945,-1.0358921652779935
"(2023, 11)",2.65331542593915,7,85.71428571428571,0.4633008214154304,-0.1264895025534326,-0.1264895025534325,20.97656621598555
"(2023, 12)",4.103484304937521,7,100.0,0.586212043562503,,0.0,inf
"(2024, 1)",-1.1187347414967712,4,25.0,0.4028372591006428,-0.5071906668658047,-1.521572000597414,-0.7352492955032841
"(2024, 2)",0.31982854371118563,3,33.33333333333333,1.1817928175694528,-0.43098213692913356,-0.10026892047575764,3.1897076600970453
"(2024, 3)",0.3503912971036524,2,50.0,0.3890005940684544,-0.03860929696480196,-0.038609296964801976,9.075308919069036
"(2024, 4)",0.21991957227071238,1,100.0,0.21991957227071238,,0.0,inf
"(2024, 5)",0.3178837453731212,1,100.0,0.3178837453731212,,0.0,inf
"(2024, 6)",0.0,0,0,0,0,0,0
"(2024, 7)",0.0,0,0,0,0,0,0
"(2024, 8)",0.0,0,0,0,0,0,0
"(2024, 9)",0.0,0,0,0,0,0,0
"(2024, 10)",0.0,0,0,0,0,0,0
"(2024, 11)",0.0,0,0,0,0,0,0
"(2024, 12)",0.0,0,0,0,0,0,0
Overall,230.01990488076285,1869.0,56.17977528089888,0.5877638463193828,-0.47442663450317296,-33.21094063438764,6.926028004235239
