Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
LONG,2019-02-25 11:15:00,27017.35,26747.176499999998,2019-02-26 09:15:00,26747.176499999998,-270.1735000000008,5.376452649999999,1110,-275.54995265000076,-305860.44744150084,-3.0586044744150085,0 days 22:00:00,ISL Hit,2019
SHORT,2019-02-26 14:15:00,26957.35,27226.923499999997,2019-02-27 09:15:00,26974.8,-17.450000000000728,5.393215,1110,-22.843215000000725,-25355.968650000807,-0.25355968650000804,0 days 19:00:00,MA Cross Opp,2019
LONG,2019-02-28 10:15:00,26920.1,26650.898999999998,2019-03-05 09:15:00,27020.25,100.15000000000146,5.394035,1110,94.75596500000145,105179.1211500016,1.051791211500016,4 days 23:00:00,MA Cross Opp,2019
SHORT,2019-03-05 09:15:00,27020.25,27290.4525,2019-03-05 10:15:00,27086.7,-66.45000000000073,5.410695,1110,-71.86069500000073,-79765.3714500008,-0.797653714500008,0 days 01:00:00,MA Cross Opp,2019
LONG,2019-03-05 10:15:00,27086.7,26815.833,2019-03-07 09:15:00,27601.8,515.0999999999985,5.468850000000001,1080,509.63114999999857,550401.6419999985,5.504016419999984,1 days 23:00:00,MA Cross Opp,2019
SHORT,2019-03-07 09:15:00,27601.8,27877.818,2019-03-07 14:15:00,27761.05,-159.25,5.536285,1080,-164.786285,-177969.18779999999,-1.7796918779999997,0 days 05:00:00,MA Cross Opp,2019
LONG,2019-03-07 14:15:00,27761.05,27483.4395,2019-03-08 12:15:00,27713.1,-47.95000000000073,5.547415,1080,-53.49741500000073,-57777.20820000079,-0.5777720820000078,0 days 22:00:00,MA Cross Opp,2019
SHORT,2019-03-08 12:15:00,27713.1,27990.231,2019-03-11 09:15:00,27990.231,-277.1310000000012,5.5703331,1080,-282.70133310000125,-305317.43974800134,-3.053174397480013,2 days 21:00:00,ISL Hit,2019
LONG,2019-03-11 10:15:00,28032.0,27751.68,2019-03-18 14:15:00,29454.85,1422.8499999999985,5.748685,1050,1417.1013149999985,1487956.3807499984,14.879563807499984,7 days 04:00:00,MA Cross Opp,2019
SHORT,2019-03-18 14:15:00,29454.85,29749.3985,2019-03-19 09:15:00,29696.0,-241.15000000000146,5.915085,990,-247.06508500000146,-244594.43415000144,-2.4459443415000144,0 days 19:00:00,MA Cross Opp,2019
LONG,2019-03-19 13:15:00,29722.05,29424.8295,2019-03-20 12:15:00,29680.6,-41.45000000000073,5.940265,990,-47.390265000000724,-46916.362350000716,-0.4691636235000071,0 days 23:00:00,MA Cross Opp,2019
SHORT,2019-03-20 12:15:00,29680.6,29977.406,2019-03-20 14:15:00,29837.35,-156.75,5.951795,990,-162.701795,-161074.77705,-1.6107477705000002,0 days 02:00:00,MA Cross Opp,2019
LONG,2019-03-20 14:15:00,29837.35,29538.976499999997,2019-03-22 14:15:00,29694.9,-142.4499999999971,5.953225000000001,990,-148.4032249999971,-146919.19274999714,-1.4691919274999714,2 days 00:00:00,MA Cross Opp,2019
SHORT,2019-03-22 14:15:00,29694.9,29991.849000000002,2019-03-26 09:15:00,29325.25,369.65000000000146,5.9020150000000005,990,363.74798500000145,360110.50515000144,3.6011050515000145,3 days 19:00:00,MA Cross Opp,2019
LONG,2019-03-26 09:15:00,29325.25,29031.9975,2019-03-27 15:15:00,29977.75,652.5,5.9303,1020,646.5697,659501.094,6.59501094,1 days 06:00:00,MA Cross Opp,2019
